---- ma-ff: ../data/simple/pfile.proto ----
6 5 6 1 5 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 7 1 5 1 0 1 1 0 0 1 1 0 2 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 0 7 1 5 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 1 7 1 5 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 2 7 1 5 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 3 7 1 5 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 6 7 1 5 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 9 7 1 5 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 10 7 1 5 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
5 5 7 0 9 1 0 1 1 0 2 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 1 1 1
6 5 7 0 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 1 0 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 2 0 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 3 0 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 4 0 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 5 0 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 6 0 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 7 0 9 1 0 1 1 0 0 1 1 0 2 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 0 7 0 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 1 7 0 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 2 7 0 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 3 7 0 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 6 7 0 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 9 7 0 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 10 7 0 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
7 5 7 2 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
7 5 7 5 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
7 5 7 6 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 7 10 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 7 7 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 1 7 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 2 7 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 3 7 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 4 7 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 5 7 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 6 7 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 7 7 9 1 0 1 1 0 0 1 1 0 2 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 0 7 7 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 1 7 7 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 2 7 7 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 3 7 7 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 6 7 7 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 9 7 7 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 10 7 7 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
8 5 7 8 9 1 0 1 1 0 0 1 1 0 2 2 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 1 1 1
7 5 7 8 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
7 5 1 8 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
7 5 2 8 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
7 5 3 8 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
7 5 4 8 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
7 5 5 8 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
7 5 6 8 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
7 5 7 8 9 1 0 1 1 0 0 1 1 0 2 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
7 0 7 8 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
7 1 7 8 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
7 2 7 8 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
7 3 7 8 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
7 6 7 8 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
7 9 7 8 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
7 10 7 8 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 7 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 1 1
6 5 7 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 1
6 5 1 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 2 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 3 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 4 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 5 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 6 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 7 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 0 7 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 1 7 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 2 7 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 3 7 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 6 7 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 9 7 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 10 7 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 1 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 0 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 8 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 9 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 1 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 0 1 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 1 1 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 2 1 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 3 1 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 6 1 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 9 1 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 10 1 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 2 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 0 2 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 1 2 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 2 2 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 3 2 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 6 2 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 9 2 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 10 2 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 3 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 3 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 0 3 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 1 3 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 2 3 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 3 3 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 6 3 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 9 3 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 10 3 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 4 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 10 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 4 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 0 4 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 1 4 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 2 4 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 3 4 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 6 4 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 9 4 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 10 4 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 5 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 5 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 0 5 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 1 5 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 2 5 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 3 5 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 6 5 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 9 5 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 10 5 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 6 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 0 6 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 1 6 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 2 6 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 3 6 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 6 6 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 9 6 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 10 6 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 0 7 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 1 7 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 2 7 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 3 7 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 6 7 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 9 7 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 10 7 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 4 7 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 8 7 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 7 7 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 7 1 9 1 0 1 1 0 0 1 1 1 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 1
6 5 7 1 9 1 0 1 1 0 0 1 1 1 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 1
6 5 7 1 5 1 0 1 1 0 0 1 1 1 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 7 0 9 1 0 1 1 0 0 1 1 1 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 7 7 9 1 0 1 1 0 0 1 1 1 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
7 5 7 8 9 1 0 1 1 0 0 1 1 1 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 7 1 9 1 0 1 1 0 0 1 1 1 2 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 1 1 9 1 0 1 1 0 0 1 1 1 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 2 1 9 1 0 1 1 0 0 1 1 1 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 3 1 9 1 0 1 1 0 0 1 1 1 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 4 1 9 1 0 1 1 0 0 1 1 1 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 5 1 9 1 0 1 1 0 0 1 1 1 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 6 1 9 1 0 1 1 0 0 1 1 1 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 7 1 9 1 0 1 1 0 0 1 1 1 2 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 0 7 1 9 1 0 1 1 0 0 1 1 1 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 1 7 1 9 1 0 1 1 0 0 1 1 1 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 2 7 1 9 1 0 1 1 0 0 1 1 1 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 3 7 1 9 1 0 1 1 0 0 1 1 1 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 6 7 1 9 1 0 1 1 0 0 1 1 1 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 9 7 1 9 1 0 1 1 0 0 1 1 1 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 10 7 1 9 1 0 1 1 0 0 1 1 1 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1
6 5 7 1 5 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1
6 5 7 0 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1
6 5 7 7 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1
7 5 7 8 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1
6 5 7 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1
6 5 1 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1
6 5 2 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1
6 5 3 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1
6 5 4 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1
6 5 5 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1
6 5 6 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1
6 5 7 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1
6 0 7 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1
6 1 7 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1
6 2 7 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1
6 3 7 1 9 1 0 1 1 0 0 1 1 0 2 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1
